Ano,Ranking,Jogador,Posicao,Nacionalidade,Idade,Clube,Jogos,Gols
2020,19,Pepê,Right Winger,Brazil,23,Grêmio Foot-Ball Porto Alegrense,31,9
2020,20,Eduardo Sasha,Centre-Forward,Brazil,29,Clube Atlético Mineiro,34,9
2020,21,Gilberto,Centre-Forward,Brazil,31,Esporte Clube Bahia,33,9
2020,22,Wellington Paulista,Centre-Forward,Brazil,37,Fortaleza Esporte Clube,35,9
2020,23,Rafael Moura,Centre-Forward,Brazil,37,Goiás EC,31,9
2020,24,Giorgian de Arrascaeta,Attacking Midfield,Uruguay,26,CR Flamengo,28,8
2020,25,Nenê,Attacking Midfield,Brazil,39,Fluminense Football Club,31,8
2021,1,Hulk,Centre-Forward,Brazil,35,Clube Atlético Mineiro,35,19
2021,2,Gilberto,Centre-Forward,Brazil,32,Esporte Clube Bahia,36,15
2021,3,Michael,Left Winger,Brazil,25,CR Flamengo,35,14
2021,4,Ademir,Right Winger,Brazil,26,América Futebol Clube (MG),31,13
2021,5,Artur,Right Winger,Brazil,23,Red Bull Bragantino,30,12
2021,6,Ytalo,Centre-Forward,Brazil,33,Red Bull Bragantino,30,12
2021,7,Gabriel Barbosa,Centre-Forward,Brazil,25,CR Flamengo,18,12
2021,8,Yuri Alberto,Centre-Forward,Brazil,20,Sport Club Internacional,33,12
2021,9,Edenilson,Central Midfield,Brazil,31,Sport Club Internacional,33,11
2021,10,Bruno Henrique,Centre-Forward,Brazil,30,CR Flamengo,24,11
2021,11,Raphael Veiga,Attacking Midfield,Brazil,26,Sociedade Esportiva Palmeiras,31,10
2021,12,Diego Souza,Centre-Forward,Brazil,36,Grêmio Foot-Ball Porto Alegrense,31,10
2021,13,Robson,Right Winger,Brazil,30,Fortaleza Esporte Clube,34,10
2021,14,Yago Pikachu,Right Winger,Brazil,29,Fortaleza Esporte Clube,34,9
2021,15,Élton,Centre-Forward,Brazil,36,Cuiabá Esporte Clube (MT),31,9
2021,16,Vina,Attacking Midfield,Brazil,30,Ceará Sporting Club,34,8
2021,17,Mikael,Centre-Forward,Brazil,22,Sport Club do Recife,33,8
2021,18,Pedro,Centre-Forward,Brazil,24,CR Flamengo,24,7
2021,19,Jô,Centre-Forward,Brazil,34,Sport Club Corinthians Paulista,32,7
2021,20,Matías Zaracho,Attacking Midfield,Argentina,23,Clube Atlético Mineiro,32,7
2021,21,Róger Guedes,Second Striker,Brazil,25,Sport Club Corinthians Paulista,19,7
2021,22,Breno Lopes,Left Winger,Brazil,25,Sociedade Esportiva Palmeiras,22,7
2021,23,Ricardo Bueno,Centre-Forward,Brazil,34,Esporte Clube Juventude,19,7
2021,24,Matheus Peixoto,Centre-Forward,Brazil,25,Esporte Clube Juventude,12,7
2021,25,David Terans,Attacking Midfield,Uruguay,27,Club Athletico Paranaense,29,6
2022,1,Germán Cano,Centre-Forward,Argentina,34,Fluminense Football Club,38,26
2022,2,Pedro Raul,Centre-Forward,Brazil,26,Goiás EC,34,19
2022,3,Jonathan Calleri,Centre-Forward,Argentina,29,São Paulo Futebol Clube,36,18
2022,4,Bissoli,Centre-Forward,Brazil,24,Avaí FC,32,14
2022,5,Marcos Leonardo,Centre-Forward,Brazil,19,Santos FC,35,13
2022,6,David Terans,Attacking Midfield,Uruguay,28,Club Athletico Paranaense,31,12
2022,7,Rony,Centre-Forward,Brazil,27,Sociedade Esportiva Palmeiras,33,12
2022,8,Hulk,Centre-Forward,Brazil,36,Clube Atlético Mineiro,25,12
2022,9,Pedro,Centre-Forward,Brazil,25,CR Flamengo,24,11
2022,10,Luan Cândido,Left-Back,Brazil,21,Red Bull Bragantino,32,11
2022,11,Luciano,Centre-Forward,Brazil,29,São Paulo Futebol Clube,31,11
2022,12,Gabriel Barbosa,Centre-Forward,Brazil,26,CR Flamengo,29,11
2022,13,Róger Guedes,Second Striker,Brazil,26,Sport Club Corinthians Paulista,36,10
2022,14,Stiven Mendoza,Left Winger,Colombia,30,Ceará Sporting Club,29,10
2022,15,Alef Manga,Left Winger,Brazil,27,Coritiba Foot Ball Club,35,9
2022,16,Gustavo Gómez,Centre-Back,Paraguay,29,Sociedade Esportiva Palmeiras,30,9
2022,17,Alemão,Centre-Forward,Brazil,24,Sport Club Internacional,34,8
2022,18,Wellington Rato,Right Winger,Brazil,30,Atlético Clube Goianiense,36,8
2022,19,Diego Churín,Centre-Forward,Argentina,32,Atlético Clube Goianiense,36,8
2022,20,Yuri Alberto,Centre-Forward,Brazil,21,Sport Club Corinthians Paulista,20,8
2022,21,Léo Gamalho,Centre-Forward,Brazil,36,Coritiba Foot Ball Club,28,8
2022,22,Gustavo Scarpa,Attacking Midfield,Brazil,28,Sociedade Esportiva Palmeiras,35,7
