Ano,Clube,Squad,Idade Media,Estrangeiros,Valor Medio,Valor Total
2025,CR Flamengo,32,28.3,10,€6.12m,€195.90m
2025,Botafogo de Futebol e Regatas,31,27.5,11,€4.46m,€138.35m
2025,Cruzeiro Esporte Clube,31,26.8,6,€4.05m,€125.65m
2025,Sport Club Corinthians Paulista,32,26.4,8,€3.45m,€110.45m
2025,Clube de Regatas Vasco da Gama,36,26.7,9,€3.00m,€108.15m
2025,Esporte Clube Bahia,30,27.5,5,€3.45m,€103.50m
2025,Clube Atlético Mineiro,32,27.0,6,€3.04m,€97.40m
2025,Fluminense Football Club,34,29.1,11,€2.77m,€94.10m
2025,Red Bull Bragantino,36,25.3,8,€2.52m,€90.70m
2025,São Paulo Futebol Clube,34,28.1,11,€2.64m,€89.85m
2025,Grêmio Foot-Ball Porto Alegrense,38,27.9,12,€2.28m,€86.45m
2025,Sport Club Internacional,29,27.2,9,€2.97m,€86.00m
2025,Santos FC,33,26.7,9,€2.51m,€82.80m
2025,Fortaleza Esporte Clube,37,29.4,10,€1.28m,€47.18m
2025,Sport Club do Recife,32,29.0,6,€1.23m,€39.50m
2025,Ceará Sporting Club,32,29.4,3,€1.03m,€32.85m
2025,Esporte Clube Vitória,35,27.9,6,€919k,€32.15m
2025,Esporte Clube Juventude,36,28.2,5,€644k,€23.20m
2025,Mirassol Futebol Clube (SP),33,29.4,1,€683k,€22.53m
