Ano,Data_Referencia,Clube,Valor_Mercado_Data,Valor_Mercado_Atual
2024,2024-12-01,Cruzeiro Esporte Clube,€80.85m,€125.65m
2024,2024-12-01,Sport Club Corinthians Paulista,€105.20m,€110.45m
2024,2024-12-01,Clube de Regatas Vasco da Gama,€76.18m,€108.15m
2024,2024-12-01,Esporte Clube Bahia,€77.50m,€103.50m
2024,2024-12-01,Clube Atlético Mineiro,€105.10m,€97.40m
2024,2024-12-01,Fluminense Football Club,€80.75m,€94.10m
2024,2024-12-01,Red Bull Bragantino,€75.55m,€90.70m
2024,2024-12-01,São Paulo Futebol Clube,€105.55m,€89.85m
2024,2024-12-01,Grêmio Foot-Ball Porto Alegrense,€95.30m,€86.45m
2024,2024-12-01,Sport Club Internacional,€73.90m,€86.00m
2024,2024-12-01,Santos FC,€37.80m,€82.80m
2024,2024-12-01,Fortaleza Esporte Clube,€45.15m,€47.18m
2024,2024-12-01,Sport Club do Recife,€19.10m,€39.50m
2024,2024-12-01,Ceará Sporting Club,€17.40m,€32.85m
2024,2024-12-01,Esporte Clube Vitória,€24.23m,€32.15m
2024,2024-12-01,Esporte Clube Juventude,€19.55m,€23.20m
2024,2024-12-01,Mirassol Futebol Clube (SP),€11.83m,€22.53m
2025,2025-12-01,Sociedade Esportiva Palmeiras,-,€212.15m
2025,2025-12-01,CR Flamengo,-,€195.90m
2025,2025-12-01,Botafogo de Futebol e Regatas,-,€138.35m
2025,2025-12-01,Cruzeiro Esporte Clube,-,€125.65m
2025,2025-12-01,Sport Club Corinthians Paulista,-,€110.45m
2025,2025-12-01,Clube de Regatas Vasco da Gama,-,€108.15m
2025,2025-12-01,Esporte Clube Bahia,-,€103.50m
2025,2025-12-01,Clube Atlético Mineiro,-,€97.40m
2025,2025-12-01,Fluminense Football Club,-,€94.10m
2025,2025-12-01,Red Bull Bragantino,-,€90.70m
2025,2025-12-01,São Paulo Futebol Clube,-,€89.85m
2025,2025-12-01,Grêmio Foot-Ball Porto Alegrense,-,€86.45m
2025,2025-12-01,Sport Club Internacional,-,€86.00m
2025,2025-12-01,Santos FC,-,€82.80m
2025,2025-12-01,Fortaleza Esporte Clube,-,€47.18m
2025,2025-12-01,Sport Club do Recife,-,€39.50m
2025,2025-12-01,Ceará Sporting Club,-,€32.85m
2025,2025-12-01,Esporte Clube Vitória,-,€32.15m
2025,2025-12-01,Esporte Clube Juventude,-,€23.20m
2025,2025-12-01,Mirassol Futebol Clube (SP),-,€22.53m
